ubuntu-user@SYJ-ubuntu:/mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIS$  cd /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST ; env "PYTHONIO
ENCODING=UTF-8" "PYTHONUNBUFFERED=1" /usr/bin/python3 /home/ubuntu-user/.vscode/extensions/ms-python.python-2019.1.0/pythonFiles/ptvsd_launcher.py --default --client --host localhost --port 37883 "/mnt/07E6085F07E6085F/[工程 项目]/[GitHub]/PP/11.MNIST/MNIST Kaggle 2.py" 
WARNING:tensorflow:From /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST/MNIST Kaggle 2.py:111: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2019-02-17 03:56:33.006555: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
===============START===============
Load?(y/n): n
=============SET TIMER=============
Time limit(s, unlimited: -1): 600
===================================
Training step: 8000 Accuracy: 85.6 learning rate: 0.0046136775
Training step: 8100 Accuracy: 79.4 learning rate: 0.004609043
Training step: 8200 Accuracy: 84.6 learning rate: 0.0046044127
Training step: 8300 Accuracy: 81.8 learning rate: 0.0045997873
Training step: 8400 Accuracy: 85.8 learning rate: 0.004595167
Training step: 8500 Accuracy: 81.3 learning rate: 0.0045905514
Training step: 8600 Accuracy: 86.6 learning rate: 0.0045859395
Training step: 8700 Accuracy: 89.4 learning rate: 0.004581333
Training step: 8800 Accuracy: 73.1 learning rate: 0.004576731
Training step: 8900 Accuracy: 77.8 learning rate: 0.0045721335
Training step: 9000 Accuracy: 80.7 learning rate: 0.0045675407
Training step: 9100 Accuracy: 74.9 learning rate: 0.0045629526
Training step: 9200 Accuracy: 82.69999999999999 learning rate: 0.004558369
Training step: 9300 Accuracy: 78.0 learning rate: 0.0045537897
Training step: 9400 Accuracy: 86.2 learning rate: 0.0045492155
Training step: 9500 Accuracy: 81.89999999999999 learning rate: 0.0045446455
Training step: 9600 Accuracy: 71.5 learning rate: 0.00454008
Training step: 9700 Accuracy: 78.8 learning rate: 0.0045355195
Training step: 9800 Accuracy: 82.1 learning rate: 0.0045309635
Training step: 9900 Accuracy: 87.1 learning rate: 0.004526412
Training step: 10000 Accuracy: 86.8 learning rate: 0.004521865
Training step: 10100 Accuracy: 87.9 learning rate: 0.004517323
Training step: 10200 Accuracy: 77.9 learning rate: 0.0045127855
Training step: 10300 Accuracy: 77.3 learning rate: 0.0045082523
Training step: 10400 Accuracy: 65.8 learning rate: 0.0045037232
Training step: 10500 Accuracy: 81.89999999999999 learning rate: 0.004499199
Training step: 10600 Accuracy: 79.80000000000001 learning rate: 0.0044946796
Training step: 10700 Accuracy: 73.3 learning rate: 0.0044901646
