ubuntu-user@SYJ-ubuntu:/mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIS$  cd /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST ; env "PYTHONIO
ENCODING=UTF-8" "PYTHONUNBUFFERED=1" /usr/bin/python3 /home/ubuntu-user/.vscode/extensions/ms-python.python-2019.1.0/pythonFiles/ptvsd_launcher.py --default --client --host localhost --port 37883 "/mnt/07E6085F07E6085F/[工程 项目]/[GitHub]/PP/11.MNIST/MNIST Kaggle 2.py" 
WARNING:tensorflow:From /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST/MNIST Kaggle 2.py:111: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2019-02-17 03:56:33.006555: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
===============START===============
Load?(y/n): n
=============SET TIMER=============
Time limit(s, unlimited: -1): 600
===================================
Training step: 11200 Accuracy: 93.8 learning rate: 0.0037043435
Training step: 11300 Accuracy: 94.89999999999999 learning rate: 0.0037006221
Training step: 11400 Accuracy: 94.89999999999999 learning rate: 0.0036969048
Training step: 11500 Accuracy: 94.8 learning rate: 0.003693191
Training step: 11600 Accuracy: 95.3 learning rate: 0.0036894812
Training step: 11700 Accuracy: 95.39999999999999 learning rate: 0.003685775
Training step: 11800 Accuracy: 94.89999999999999 learning rate: 0.0036820727
Training step: 11900 Accuracy: 95.1 learning rate: 0.003678374
Training step: 12000 Accuracy: 93.7 learning rate: 0.0036746787
Training step: 12100 Accuracy: 95.0 learning rate: 0.0036709874
Training step: 12200 Accuracy: 95.6 learning rate: 0.0036672999
Training step: 12300 Accuracy: 96.1 learning rate: 0.003663616
Training step: 12400 Accuracy: 94.1 learning rate: 0.003659936
Training step: 12500 Accuracy: 89.60000000000001 learning rate: 0.0036562595
Training step: 12600 Accuracy: 94.0 learning rate: 0.0036525866
Training step: 12700 Accuracy: 94.39999999999999 learning rate: 0.0036489172
Training step: 12800 Accuracy: 94.5 learning rate: 0.003645252
Training step: 12900 Accuracy: 95.7 learning rate: 0.00364159
Training step: 13000 Accuracy: 92.80000000000001 learning rate: 0.0036379322
Training step: 13100 Accuracy: 94.8 learning rate: 0.0036342775
Training step: 13200 Accuracy: 93.89999999999999 learning rate: 0.003630627
Training step: 13300 Accuracy: 95.6 learning rate: 0.00362698
Training step: 13400 Accuracy: 93.30000000000001 learning rate: 0.0036233366
Training step: 13500 Accuracy: 93.7 learning rate: 0.0036196967
Training step: 13600 Accuracy: 93.2 learning rate: 0.0036160606
Training step: 13700 Accuracy: 94.39999999999999 learning rate: 0.0036124282
Training step: 13800 Accuracy: 94.69999999999999 learning rate: 0.0036087995
Training step: 13900 Accuracy: 95.19999999999999 learning rate: 0.0036051744
Training step: 14000 Accuracy: 95.3 learning rate: 0.0036015527
Training step: 14100 Accuracy: 93.89999999999999 learning rate: 0.003597935
Training step: 14200 Accuracy: 94.6 learning rate: 0.0035943207
Training step: 14300 Accuracy: 94.1 learning rate: 0.00359071
Training step: 14400 Accuracy: 90.0 learning rate: 0.0035871032
Training step: 14500 Accuracy: 85.5 learning rate: 0.0035834997
Training step: 14600 Accuracy: 95.5 learning rate: 0.0035799001
Training step: 14700 Accuracy: 95.7 learning rate: 0.0035763038
Training step: 14800 Accuracy: 95.1 learning rate: 0.0035727115
Training step: 14900 Accuracy: 94.89999999999999 learning rate: 0.0035691224
Training step: 15000 Accuracy: 95.1 learning rate: 0.0035655373
Training step: 15100 Accuracy: 83.39999999999999 learning rate: 0.0035619556
Training step: 15200 Accuracy: 93.0 learning rate: 0.0035583775
Training step: 15300 Accuracy: 93.60000000000001 learning rate: 0.003554803
Training step: 15400 Accuracy: 92.7 learning rate: 0.0035512322
Training step: 15500 Accuracy: 93.5 learning rate: 0.0035476647
Training step: 15600 Accuracy: 92.10000000000001 learning rate: 0.003544101
Training step: 15700 Accuracy: 92.30000000000001 learning rate: 0.0035405408
Training step: 15800 Accuracy: 92.0 learning rate: 0.0035369843
Training step: 15900 Accuracy: 93.5 learning rate: 0.0035334313
Training step: 16000 Accuracy: 93.10000000000001 learning rate: 0.003529882
Training step: 16100 Accuracy: 92.30000000000001 learning rate: 0.0035263363
Training step: 16200 Accuracy: 92.10000000000001 learning rate: 0.0035227938
Training step: 16300 Accuracy: 93.2 learning rate: 0.0035192552
Training step: 16400 Accuracy: 93.0 learning rate: 0.0035157197
Training step: 16500 Accuracy: 94.8 learning rate: 0.003512188
Training step: 16600 Accuracy: 95.8 learning rate: 0.00350866
Training step: 16700 Accuracy: 92.60000000000001 learning rate: 0.0035051354
Training step: 16800 Accuracy: 83.39999999999999 learning rate: 0.0035016146
Training step: 16900 Accuracy: 93.30000000000001 learning rate: 0.003498097
Training step: 17000 Accuracy: 95.6 learning rate: 0.0034945833
Training step: 17100 Accuracy: 95.8 learning rate: 0.003491073
Training step: 17200 Accuracy: 95.19999999999999 learning rate: 0.0034875658
Training step: 17300 Accuracy: 94.69999999999999 learning rate: 0.0034840624
Training step: 17400 Accuracy: 96.0 learning rate: 0.0034805625
Training step: 17500 Accuracy: 96.1 learning rate: 0.0034770663
Training step: 17600 Accuracy: 95.1 learning rate: 0.0034735736
Training step: 17700 Accuracy: 87.2 learning rate: 0.0034700844
Training step: 17800 Accuracy: 93.60000000000001 learning rate: 0.0034665987
Training step: 17900 Accuracy: 95.6 learning rate: 0.0034631162
Training step: 18000 Accuracy: 95.3 learning rate: 0.0034596373
Training step: 18100 Accuracy: 95.1 learning rate: 0.003456162
Training step: 18200 Accuracy: 94.6 learning rate: 0.00345269
Training step: 18300 Accuracy: 95.1 learning rate: 0.003449222
Training step: 18400 Accuracy: 95.39999999999999 learning rate: 0.0034457569
Training step: 18500 Accuracy: 95.19999999999999 learning rate: 0.0034422958
Training step: 18600 Accuracy: 94.1 learning rate: 0.0034388378
Training step: 18700 Accuracy: 94.6 learning rate: 0.0034353833
Training step: 18800 Accuracy: 92.5 learning rate: 0.0034319325
Training step: 18900 Accuracy: 87.9 learning rate: 0.003428485
Training step: 19000 Accuracy: 93.8 learning rate: 0.003425041
Training step: 19100 Accuracy: 93.7 learning rate: 0.0034216004
Training step: 19200 Accuracy: 94.3 learning rate: 0.0034181634
Training step: 19300 Accuracy: 93.89999999999999 learning rate: 0.0034147298
Training step: 19400 Accuracy: 95.3 learning rate: 0.0034112995
Training step: 19500 Accuracy: 95.3 learning rate: 0.0034078727
Training step: 19600 Accuracy: 95.6 learning rate: 0.0034044494
Training step: 19700 Accuracy: 95.19999999999999 learning rate: 0.0034010296
Training step: 19800 Accuracy: 95.89999999999999 learning rate: 0.003397613
Training step: 19900 Accuracy: 95.8 learning rate: 0.0033942002
Training step: 20000 Accuracy: 95.0 learning rate: 0.0033907907
Training step: 20100 Accuracy: 95.39999999999999 learning rate: 0.0033873846
Training step: 20200 Accuracy: 96.1 learning rate: 0.0033839818
Training step: 20300 Accuracy: 95.5 learning rate: 0.0033805827
Training step: 20400 Accuracy: 95.6 learning rate: 0.0033771866
Training step: 20500 Accuracy: 94.69999999999999 learning rate: 0.0033737943
Training step: 20600 Accuracy: 95.0 learning rate: 0.0033704052
Training step: 20700 Accuracy: 93.60000000000001 learning rate: 0.0033670191
Training step: 20800 Accuracy: 94.89999999999999 learning rate: 0.0033636373
Training step: 20900 Accuracy: 92.30000000000001 learning rate: 0.0033602582
Training step: 21000 Accuracy: 93.5 learning rate: 0.0033568828
Training step: 21100 Accuracy: 93.60000000000001 learning rate: 0.0033535108
Training step: 21200 Accuracy: 93.10000000000001 learning rate: 0.003350142
Training step: 21300 Accuracy: 94.19999999999999 learning rate: 0.0033467766
Training step: 21400 Accuracy: 93.8 learning rate: 0.0033434145
Training step: 21500 Accuracy: 93.7 learning rate: 0.0033400562
Training step: 21600 Accuracy: 95.0 learning rate: 0.003336701
Training step: 21700 Accuracy: 94.3 learning rate: 0.0033333492
Training step: 21800 Accuracy: 95.1 learning rate: 0.003330001
Training step: 21900 Accuracy: 93.2 learning rate: 0.0033266556
Training step: 22000 Accuracy: 95.5 learning rate: 0.0033233138
Training step: 22100 Accuracy: 94.89999999999999 learning rate: 0.0033199757
Training step: 22200 Accuracy: 94.6 learning rate: 0.0033166404
Training step: 22300 Accuracy: 93.2 learning rate: 0.0033133088
Training step: 22400 Accuracy: 93.89999999999999 learning rate: 0.0033099805
Training step: 22500 Accuracy: 94.39999999999999 learning rate: 0.0033066554
Training step: 22600 Accuracy: 94.8 learning rate: 0.0033033341
Training step: 22700 Accuracy: 94.89999999999999 learning rate: 0.0033000158
Training step: 22800 Accuracy: 94.19999999999999 learning rate: 0.003296701
Training step: 22900 Accuracy: 94.8 learning rate: 0.003293389
Training step: 23000 Accuracy: 95.19999999999999 learning rate: 0.003290081
Training step: 23100 Accuracy: 95.7 learning rate: 0.003286776
Training step: 23200 Accuracy: 95.7 learning rate: 0.0032834741
Training step: 23300 Accuracy: 94.19999999999999 learning rate: 0.0032801758
Training step: 23400 Accuracy: 95.19999999999999 learning rate: 0.0032768808
Training step: 23500 Accuracy: 94.89999999999999 learning rate: 0.0032735893
Training step: 23600 Accuracy: 95.39999999999999 learning rate: 0.0032703006
Training step: 23700 Accuracy: 94.89999999999999 learning rate: 0.0032670153
Training step: 23800 Accuracy: 95.5 learning rate: 0.0032637338
Training step: 23900 Accuracy: 95.1 learning rate: 0.0032604553
Training step: 24000 Accuracy: 95.1 learning rate: 0.00325718
Training step: 24100 Accuracy: 96.5 learning rate: 0.0032539081
Training step: 24200 Accuracy: 95.7 learning rate: 0.0032506394
Training step: 24300 Accuracy: 96.0 learning rate: 0.0032473742
Training step: 24400 Accuracy: 96.1 learning rate: 0.003244112
Training step: 24500 Accuracy: 96.2 learning rate: 0.003240853
Training step: 24600 Accuracy: 95.8 learning rate: 0.0032375976
Training step: 24700 Accuracy: 96.3 learning rate: 0.0032343455
Training step: 24800 Accuracy: 96.2 learning rate: 0.0032310965
Training step: 24900 Accuracy: 94.69999999999999 learning rate: 0.0032278507
Training step: 25000 Accuracy: 95.6 learning rate: 0.0032246083
Training step: 25100 Accuracy: 94.3 learning rate: 0.003221369
Training step: 25200 Accuracy: 94.6 learning rate: 0.003218133
Training step: 25300 Accuracy: 96.0 learning rate: 0.0032149004
Training step: 25400 Accuracy: 95.7 learning rate: 0.003211671
Training step: 25500 Accuracy: 95.1 learning rate: 0.0032084447
Training step: 25600 Accuracy: 95.89999999999999 learning rate: 0.0032052218
Training step: 25700 Accuracy: 96.6 learning rate: 0.003202002
Training step: 25800 Accuracy: 94.19999999999999 learning rate: 0.0031987857
Training step: 25900 Accuracy: 94.69999999999999 learning rate: 0.0031955722
Training step: 26000 Accuracy: 94.69999999999999 learning rate: 0.0031923621
Training step: 26100 Accuracy: 95.89999999999999 learning rate: 0.0031891554
Training step: 26200 Accuracy: 95.0 learning rate: 0.0031859518
Training step: 26300 Accuracy: 96.2 learning rate: 0.0031827514
Training step: 26400 Accuracy: 86.9 learning rate: 0.0031795544
Training step: 26500 Accuracy: 95.39999999999999 learning rate: 0.0031763604
Training step: 26600 Accuracy: 94.19999999999999 learning rate: 0.0031731694
Training step: 26700 Accuracy: 96.1 learning rate: 0.003169982
Training step: 26800 Accuracy: 96.3 learning rate: 0.0031667976
Training step: 26900 Accuracy: 95.6 learning rate: 0.0031636166
Training step: 27000 Accuracy: 94.1 learning rate: 0.0031604387
Training step: 27100 Accuracy: 93.0 learning rate: 0.0031572639
Training step: 27200 Accuracy: 94.8 learning rate: 0.0031540925
Training step: 27300 Accuracy: 94.69999999999999 learning rate: 0.003150924
Training step: 27400 Accuracy: 94.69999999999999 learning rate: 0.0031477588
Training step: 27500 Accuracy: 95.5 learning rate: 0.0031445967
Training step: 27600 Accuracy: 96.1 learning rate: 0.003141438
Training step: 27700 Accuracy: 96.5 learning rate: 0.0031382823
Training step: 27800 Accuracy: 95.8 learning rate: 0.0031351298
Training step: 27900 Accuracy: 95.1 learning rate: 0.0031319805
Training step: 28000 Accuracy: 96.39999999999999 learning rate: 0.0031288343
Training step: 28100 Accuracy: 96.1 learning rate: 0.0031256913
Training step: 28200 Accuracy: 96.6 learning rate: 0.0031225514
Training step: 28300 Accuracy: 96.6 learning rate: 0.0031194147
Training step: 28400 Accuracy: 95.8 learning rate: 0.0031162812
Training step: 28500 Accuracy: 96.39999999999999 learning rate: 0.0031131508
Training step: 28600 Accuracy: 96.3 learning rate: 0.0031100237
Training step: 28700 Accuracy: 95.5 learning rate: 0.0031068996
Training step: 28800 Accuracy: 96.0 learning rate: 0.0031037787
Training step: 28900 Accuracy: 94.89999999999999 learning rate: 0.0031006606
Training step: 29000 Accuracy: 95.6 learning rate: 0.003097546
Training step: 29100 Accuracy: 93.5 learning rate: 0.0030944343
Training step: 29200 Accuracy: 94.0 learning rate: 0.003091326
Training step: 29300 Accuracy: 94.3 learning rate: 0.0030882205
Training step: 29400 Accuracy: 95.7 learning rate: 0.0030851185
Training step: 29500 Accuracy: 94.6 learning rate: 0.0030820193
Training step: 29600 Accuracy: 96.1 learning rate: 0.0030789236
Training step: 29700 Accuracy: 96.0 learning rate: 0.0030758306
Training step: 29800 Accuracy: 96.0 learning rate: 0.0030727407
Training step: 29900 Accuracy: 96.6 learning rate: 0.003069654
Training step: 30000 Accuracy: 94.89999999999999 learning rate: 0.0030665707
Training step: 30100 Accuracy: 96.7 learning rate: 0.00306349
Training step: 30200 Accuracy: 96.3 learning rate: 0.0030604126
Training step: 30300 Accuracy: 96.39999999999999 learning rate: 0.0030573385
Training step: 30400 Accuracy: 95.19999999999999 learning rate: 0.003054267
Training step: 30500 Accuracy: 95.8 learning rate: 0.0030511993
Training step: 30600 Accuracy: 95.8 learning rate: 0.003048134
Training step: 30700 Accuracy: 95.8 learning rate: 0.003045072
Training step: 30800 Accuracy: 95.39999999999999 learning rate: 0.0030420134
Training step: 30900 Accuracy: 95.7 learning rate: 0.0030389577
Training step: 31000 Accuracy: 95.89999999999999 learning rate: 0.003035905
Training step: 31100 Accuracy: 96.2 learning rate: 0.003032855
Training step: 31200 Accuracy: 96.8 learning rate: 0.0030298086
Training step: 31300 Accuracy: 96.39999999999999 learning rate: 0.0030267653
Training step: 31400 Accuracy: 94.8 learning rate: 0.0030237245
Training step: 31500 Accuracy: 95.3 learning rate: 0.0030206873
Training step: 31600 Accuracy: 94.39999999999999 learning rate: 0.0030176528
Training step: 31700 Accuracy: 95.0 learning rate: 0.0030146216
Training step: 31800 Accuracy: 86.4 learning rate: 0.0030115934
Training step: 31900 Accuracy: 95.19999999999999 learning rate: 0.003008568
Training step: 32000 Accuracy: 96.1 learning rate: 0.003005546
Training step: 32100 Accuracy: 96.2 learning rate: 0.0030025267
Training step: 32200 Accuracy: 91.4 learning rate: 0.0029995106
Training step: 32300 Accuracy: 95.5 learning rate: 0.0029964973
Training step: 32400 Accuracy: 95.5 learning rate: 0.0029934873
Training step: 32500 Accuracy: 96.8 learning rate: 0.0029904803
Training step: 32600 Accuracy: 95.8 learning rate: 0.0029874763
Training step: 32700 Accuracy: 96.2 learning rate: 0.0029844753
Training step: 32800 Accuracy: 95.39999999999999 learning rate: 0.0029814774
Training step: 32900 Accuracy: 95.5 learning rate: 0.0029784825
Training step: 33000 Accuracy: 96.39999999999999 learning rate: 0.0029754904
Training step: 33100 Accuracy: 96.0 learning rate: 0.0029725016
Training step: 33200 Accuracy: 96.6 learning rate: 0.0029695155
Training step: 33300 Accuracy: 96.5 learning rate: 0.0029665327
Training step: 33400 Accuracy: 95.39999999999999 learning rate: 0.0029635525
Training step: 33500 Accuracy: 96.1 learning rate: 0.0029605757
Training step: 33600 Accuracy: 95.0 learning rate: 0.0029576016
Training step: 33700 Accuracy: 95.89999999999999 learning rate: 0.0029546304
Training step: 33800 Accuracy: 95.5 learning rate: 0.0029516628
Training step: 33900 Accuracy: 94.39999999999999 learning rate: 0.0029486974
Training step: 34000 Accuracy: 96.3 learning rate: 0.0029457356
Training step: 34100 Accuracy: 95.5 learning rate: 0.0029427763
Training step: 34200 Accuracy: 95.6 learning rate: 0.0029398203
Training step: 34300 Accuracy: 94.3 learning rate: 0.0029368673
Training step: 34400 Accuracy: 93.10000000000001 learning rate: 0.0029339169
Training step: 34500 Accuracy: 95.8 learning rate: 0.00293097
Training step: 34600 Accuracy: 95.39999999999999 learning rate: 0.0029280256
Training step: 34700 Accuracy: 95.8 learning rate: 0.0029250844
Training step: 34800 Accuracy: 95.0 learning rate: 0.0029221459
Training step: 34900 Accuracy: 95.39999999999999 learning rate: 0.0029192108
Training step: 35000 Accuracy: 89.60000000000001 learning rate: 0.002916278
Training step: 35100 Accuracy: 93.7 learning rate: 0.0029133486
Training step: 35200 Accuracy: 96.39999999999999 learning rate: 0.0029104224
Training step: 35300 Accuracy: 91.4 learning rate: 0.0029074987
Training step: 35400 Accuracy: 96.8 learning rate: 0.0029045779
Training step: 35500 Accuracy: 95.89999999999999 learning rate: 0.00290166
Training step: 35600 Accuracy: 95.3 learning rate: 0.0028987455
Training step: 35700 Accuracy: 95.7 learning rate: 0.0028958335
Training step: 35800 Accuracy: 96.6 learning rate: 0.0028929245
Training step: 35900 Accuracy: 96.1 learning rate: 0.0028900185
Training step: 36000 Accuracy: 96.1 learning rate: 0.0028871153
Training step: 36100 Accuracy: 96.3 learning rate: 0.0028842154
Training step: 36200 Accuracy: 97.2 learning rate: 0.0028813179
Training step: 36300 Accuracy: 97.0 learning rate: 0.0028784235
Training step: 36400 Accuracy: 96.1 learning rate: 0.0028755323
Training step: 36500 Accuracy: 97.2 learning rate: 0.0028726438
Training step: 36600 Accuracy: 96.5 learning rate: 0.002869758
Training step: 36700 Accuracy: 96.39999999999999 learning rate: 0.0028668751
Training step: 36800 Accuracy: 96.6 learning rate: 0.0028639953
Training step: 36900 Accuracy: 97.2 learning rate: 0.0028611182
Training step: 37000 Accuracy: 97.1 learning rate: 0.0028582443
Training step: 37100 Accuracy: 96.7 learning rate: 0.0028553728
Training step: 37200 Accuracy: 96.89999999999999 learning rate: 0.0028525048
Training step: 37300 Accuracy: 95.39999999999999 learning rate: 0.0028496396
Training step: 37400 Accuracy: 96.5 learning rate: 0.0028467767
Training step: 37500 Accuracy: 97.2 learning rate: 0.0028439173
Training step: 37600 Accuracy: 96.8 learning rate: 0.0028410603
Training step: 37700 Accuracy: 96.6 learning rate: 0.0028382065
Training step: 37800 Accuracy: 96.6 learning rate: 0.0028353552
Training step: 37900 Accuracy: 96.7 learning rate: 0.002832507
Training step: 38000 Accuracy: 97.3 learning rate: 0.0028296618
Training step: 38100 Accuracy: 97.2 learning rate: 0.0028268194
Training step: 38200 Accuracy: 96.5 learning rate: 0.0028239798
Training step: 38300 Accuracy: 96.3 learning rate: 0.002821143
Training step: 38400 Accuracy: 96.0 learning rate: 0.002818309
Training step: 38500 Accuracy: 96.3 learning rate: 0.002815478
Training step: 38600 Accuracy: 96.39999999999999 learning rate: 0.0028126498
Training step: 38700 Accuracy: 87.9 learning rate: 0.0028098247
Training step: 38800 Accuracy: 96.3 learning rate: 0.0028070018
Training step: 38900 Accuracy: 95.6 learning rate: 0.002804182
Training step: 39000 Accuracy: 97.0 learning rate: 0.0028013652
Training step: 39100 Accuracy: 97.0 learning rate: 0.0027985512
Training step: 39200 Accuracy: 97.3 learning rate: 0.00279574
Training step: 39300 Accuracy: 97.2 learning rate: 0.0027929316
Training step: 39400 Accuracy: 97.3 learning rate: 0.0027901263
Training step: 39500 Accuracy: 96.89999999999999 learning rate: 0.0027873232
Training step: 39600 Accuracy: 96.39999999999999 learning rate: 0.0027845234
Training step: 39700 Accuracy: 96.2 learning rate: 0.0027817264
Training step: 39800 Accuracy: 95.3 learning rate: 0.0027789318
Training step: 39900 Accuracy: 94.69999999999999 learning rate: 0.0027761406
===================================
Save?(y/n): y
===================================
已终止
